Id,Prenom,Nom,Note
2211,Gabriel,Laurent,3.36
2212,Mia,Fournier,5.3
2213,Marius,Bonnet,6.7
2214,Elio,Perrin,16.99
2215,Alix,Blanc,2.63
2216,Mohamed,Dumas,19.81
2217,Ethan,Renard,2.05
2218,Timéo,Noel,11.8
2219,Théo,Picard,11.67
2220,Lola,Lemaire,9.41
2221,Eliott,Dumont,5.59
2222,Marceau,Dumont,16.26
2223,Mohamed,Chevalier,9.97
2224,Milo,Riviere,19.87
2225,Martin,Colin,4.56
2226,Gabin,Leclercq,2.71
2227,Victoire,Schmitt,17.22
2228,Romane,Gaillard,7.35
2229,Jules,Meyer,2.08
2230,Robin,Legrand,1.41
2231,Naël,Roche,4.65
2232,Eliott,Dumas,17.54
2233,Alma,Marie,11.28
2234,Eliott,Renard,14.86
2235,Victor,Boyer,3.83
2236,Eden,Payet,15.76
2237,Alma,Roux,9.14
2238,Elena,Garnier,13.26
2239,Inès,Dubois,7.4
2240,Martin,Noel,18.26
2241,Lucas,Perrin,14.32
2242,Alma,Martinez,4.85
2243,Agathe,Pierre,5.04
2244,Lucas,Blanchard,7.52
2245,Naël,Richard,15.62
2246,Mya,Morin,5.12
2247,Inès,Dubois,1.47
2248,Sofia,Masson,5.52
2249,Isaac,Faure,16.25
2250,Enzo,Bourgeois,1.32
2251,Noé,Lemaire,15.62
2252,Valentin,Morel,16.1
2253,Naël,David,16.92
2254,Jade,Payet,0.67
2255,Paul,Leroy,7.8
2256,Gabriel,Gerard,3.31
2257,Louis,Mathieu,12.56
2258,Mia,Leroy,7.79
2259,Théo,Robert,6.11
2260,Mia,Chevalier,9.42
2261,Luna,Guerin,6.04
2262,Jules,Fabre,0.89
2263,Mila,Boyer,8.16
2264,Axel,Bonnet,18.4
2265,Tiago,Schmitt,5.83
2266,Robin,Morin,17.07
2267,Jules,Caron,0.52
2268,Inaya,Olivier,15.31
2269,Hugo,Blanc,13.73
2270,Lyam,Lacroix,11.05
2271,Luna,Barbier,5.8
2272,Emma,Morel,3.38
2273,Mohamed,Picard,5.54
2274,Tiago,Roger,12.24
2275,Lyam,Blanc,11.35
2276,Marius,Mercier,1.91
2277,Arthur,Giraud,8.67
2278,Naël,Lecomte,9.49
2279,Adam,Francois,3.18
2280,Anna,Pierre,16.0
2281,Léa,Faure,2.5
2282,Lou,Lambert,11.13
2283,Hugo,Blanc,12.34
2284,Ambre,Muller,16.43
2285,Eliott,Blanchard,3.63
2286,Juliette,Girard,13.29
2287,Rose,Perrin,0.24
2288,Louis,Muller,0.31
2289,Amir,Rolland,3.82
2290,Rayan,Joly,12.9
2291,Noah,Lacroix,14.85
2292,Hugo,Andre,17.55
2293,Margaux,Brun,9.04
2294,Isaac,Mathieu,16.28
2295,Jeanne,Lefebvre,6.98
2296,Mathis,Mathieu,8.14
2297,Giulia,Guillaume,15.54
2298,Mia,Bertrand,9.75
2299,Charlotte,Martinez,9.56
2300,Enzo,Faure,1.73
2301,Ambre,Andre,0.12
2302,Charlotte,Guillaume,4.37
2303,Aaron,Roussel,11.07
2304,Paul,Mathieu,4.68
2305,Léon,Olivier,15.96
2306,Louis,Caron,11.17
2307,Ethan,Muller,14.9
2308,Eliott,Girard,14.75
2309,Alba,Perrin,8.94
2310,Léon,Gautier,16.22
2311,Timéo,Lemoine,6.48
2312,Raphaël,Martin,15.82
2313,Valentin,Guillaume,2.07
2314,Noé,Robin,0.59
2315,Aaron,Philippe,10.95
2316,Alma,Brunet,15.63
2317,Noé,Robin,9.5
2318,Valentin,Joly,3.4
2319,Eliott,Leclercq,3.85
2320,Aaron,Riviere,14.44
2321,Lou,Roy,3.18
2322,Alba,Lemaire,14.96
2323,Iris,Blanc,9.34
2324,Adam,Durand,3.65
2325,Victoire,Meunier,4.82
2326,Louna,Fabre,16.31
2327,Marius,Martin,5.8
2328,Alice,Joly,1.4
2329,Emma,Joly,19.53
2330,Imran,Lacroix,2.09
2331,Malo,Leroy,16.9
2332,Aaron,Michel,13.45
2333,Rayan,Arnaud,14.85
2334,Nour,Pierre,2.96
2335,Victoire,Mathieu,6.1
2336,Noé,Moreau,10.65
2337,Mohamed,Lucas,3.09
2338,Axel,Lemaire,13.98
2339,Isaac,Morel,13.68
2340,Léonie,Bonnet,12.73
2341,Agathe,Blanc,4.54
2342,Léna,Roy,14.08
2343,Luna,Perrin,5.08
2344,Alba,Fournier,9.22
2345,Tom,Gautier,15.25
2346,Charlotte,Petit,6.54
2347,Olivia,Morel,4.86
2348,Isaac,Lefevre,3.15
2349,Raphaël,Barbier,1.6
2350,Valentin,Gerard,18.36
2351,Gabriel,Lucas,4.52
2352,Mohamed,Duval,15.82
2353,Aaron,Gaillard,7.2
2354,Iris,Faure,12.47
2355,Margaux,Meyer,1.44
2356,Nino,Arnaud,11.65
2357,Lyana,Fabre,1.87
2358,Léon,Payet,1.38
2359,Imran,Bonnet,2.96
2360,Zoé,Morel,18.15
2361,Nina,Rey,0.65
2362,Hugo,Morel,18.07
2363,Inaya,Marie,5.31
2364,Gaspard,Meunier,11.6
2365,Jeanne,Roy,14.71
2366,Valentin,Philippe,15.16
2367,Gaspard,Dumont,19.35
2368,Romy,Roger,6.56
2369,Elena,Dumont,16.46
2370,Gaspard,Duval,6.11
2371,Julia,Leclerc,15.79
2372,Lucas,Dupont,0.04
2373,Elio,Robin,5.45
2374,Robin,Guillaume,9.25
2375,Lya,Colin,11.13
2376,Alice,Vidal,6.89
2377,Ayden,Martin,19.22
2378,Noé,Leroy,19.27
2379,Alba,Morel,10.76
2380,Eva,Renaud,10.34
2381,Milo,Dubois,7.4
2382,Alix,Payet,11.1
2383,Sofia,Renard,7.88
2384,Sacha,Mathieu,3.37
2385,Louis,Gautier,13.03
2386,Imran,Dumont,1.12
2387,Alma,Perrin,19.02
2388,Jeanne,Robin,16.03
2389,Elena,Perrin,7.46
2390,Imran,Guerin,10.81
2391,Nina,Fontaine,9.77
2392,Hugo,Roy,12.51
2393,Jeanne,Payet,17.24
2394,Giulia,Leroy,0.94
2395,Augustin,Payet,11.56
2396,Marceau,Lemoine,12.44
2397,Noah,Dubois,9.0
2398,Margaux,Morel,13.66
2399,Paul,Dumont,5.19
2400,Marius,Bernard,14.69
2401,Chloé,Leclercq,0.13
2402,Sofia,Girard,0.92
2403,Lou,Rolland,7.84
2404,Eden,Meyer,13.3
2405,Ayden,Riviere,0.42
2406,Iris,Lecomte,3.48
2407,Alba,Legrand,6.24
2408,Elena,Durand,13.7
2409,Nour,Richard,13.31
2410,Romy,Roy,3.39
2411,Sofia,Richard,18.34
2412,Mila,Gautier,17.98
2413,Milo,Chevalier,14.53
2414,Rose,Blanchard,14.91
2415,Mila,Joly,13.65
2416,Aaron,Garnier,15.46
2417,Inaya,Dubois,9.55
2418,Gabin,Lemaire,1.65
2419,Lou,Dupont,0.85
2420,Victoire,Rolland,13.97
2421,Milo,Moreau,18.97
2422,Léon,Boyer,12.61
2423,Mila,Noel,17.44
2424,Lyana,Rey,6.62
2425,Alma,Meunier,10.87
2426,Nina,Denis,7.88
2427,Isaac,Dubois,15.86
2428,Agathe,Gautier,9.23
2429,Martin,Girard,12.41
2430,Noé,Gaillard,11.01
2431,Elio,Meunier,17.38
2432,Lina,Joly,15.26
2433,Eden,Bertrand,14.98
2434,Elena,Fournier,13.0
2435,Amir,Brun,1.31
2436,Ibrahim,Petit,6.76
2437,Zoé,Dupont,10.4
2438,Inès,Gauthier,11.9
2439,Rayan,Dupont,13.43
2440,Ambre,Legrand,15.82
2441,Louna,Meunier,13.3
2442,Tom,Petit,3.84
2443,Timéo,Lefevre,4.25
2444,Nathan,Laurent,12.69
2445,Margaux,Muller,3.78
2446,Amir,Fabre,1.85
2447,Milo,Andre,19.11
2448,Augustin,Gauthier,14.75
2449,Lyam,Bernard,4.14
2450,Lou,Noel,8.28
2451,Marius,Dumas,13.67
2452,Lucas,Arnaud,12.64
2453,Léo,Philippe,17.22
2454,Théo,Arnaud,17.86
2455,Tom,Rey,2.4
2456,Sacha,Duval,8.01
2457,Liam,Moreau,11.58
2458,Louis,Vidal,1.42
2459,Nour,Lemaire,13.92
2460,Romane,Robin,4.43
2461,Louise,Lucas,18.42
2462,Romane,Dumont,7.16
2463,Iris,Roche,10.91
2464,Imran,Richard,5.72
2465,Sofia,Bourgeois,3.26
2466,Ibrahim,Robert,3.08
2467,Lyana,Chevalier,3.81
2468,Anna,Barbier,5.39
2469,Malo,Roche,4.97
2470,Alice,Duval,18.69
2471,Victoria,Morin,16.48
2472,Léon,Denis,15.15
2473,Mila,Joly,8.04
2474,Malo,Gauthier,5.1
2475,Inès,Gerard,16.91
2476,Mya,Renard,14.35
2477,Ava,Lefebvre,19.21
2478,Léo,Philippe,19.18
2479,Jules,Gautier,11.1
2480,Jules,Leclerc,4.86
2481,Mila,Leroy,8.24
2482,Lucas,Brunet,13.78
2483,Ethan,Dumont,1.13
2484,Alix,Guillaume,1.17
2485,Ayden,Schmitt,4.38
2486,Martin,Leroux,5.73
2487,Romy,Dumas,12.32
2488,Margaux,Leroux,10.59
2489,Gabriel,Caron,3.72
2490,Léa,Colin,6.43
2491,Rayan,Robin,9.33
2492,Jade,Andre,7.12
2493,Ambre,Lemoine,18.83
2494,Anna,Mercier,9.91
2495,Juliette,Vidal,10.22
2496,Noé,Marchand,9.36
2497,Mila,Denis,12.7
2498,Aaron,Girard,5.64
2499,Rayan,Caron,5.38
2500,Adèle,Laurent,4.93
2501,Victoria,Mercier,2.84
2502,Noah,Roger,7.33
2503,Chloé,Thomas,2.67
2504,Mia,Meunier,4.76
2505,Elena,Meunier,15.03
2506,Raphaël,Dufour,19.97
2507,Ambre,Gautier,15.89
2508,Lina,Lemoine,3.56
2509,Victoria,Lacroix,17.37
2510,Milo,Leclerc,7.08
2511,Alba,Petit,6.42
2512,Alba,Simon,8.39
2513,Olivia,Denis,0.57
2514,Augustin,Meunier,8.99
2515,Rose,Bonnet,15.18
2516,Romane,Michel,7.49
2517,Mohamed,Andre,17.57
2518,Noah,Bourgeois,0.12
2519,Noé,Marie,0.57
2520,Hugo,Schmitt,9.1
2521,Hugo,Marchand,11.15
2522,Timéo,Robin,2.98
2523,Léa,Chevalier,15.18
2524,Jeanne,Henry,11.78
2525,Maël,Payet,14.75
2526,Lola,Picard,10.96
2527,Olivia,Roger,19.58
2528,Maël,Lacroix,3.42
2529,Alma,Girard,2.37
2530,Lina,Marchand,9.73
2531,Axel,Boyer,13.84
2532,Sofia,Brunet,11.77
2533,Margaux,Martin,2.27
2534,Agathe,Nicolas,12.13
2535,Julia,Barbier,19.62
2536,Emy,Gautier,2.1
2537,Lyana,Gerard,19.41
2538,Augustin,Pierre,18.4
2539,Alba,Gauthier,18.74
2540,Mia,Legrand,6.02
2541,Victor,Masson,12.41
2542,Eden,Rolland,2.21
2543,Aaron,Dupont,9.37
2544,Louna,Fournier,7.79
2545,Inès,Colin,10.01
2546,Noah,Roussel,11.34
2547,Chloé,Leroy,4.29
2548,Gabriel,Riviere,4.72
2549,Malo,Masson,12.67
2550,Marceau,Guerin,6.51
2551,Jade,Lemoine,5.63
2552,Nina,Garnier,10.89
2553,Marius,Legrand,0.29
2554,Romy,Fabre,3.68
2555,Léo,Leclerc,12.72
2556,Louise,Boyer,14.99
2557,Tom,Caron,17.45
2558,Ambre,Dumas,4.55
2559,Gabriel,Henry,14.05
2560,Gabin,Moreau,6.89
2561,Jeanne,Masson,0.57
2562,Luna,Lambert,14.15
2563,Théo,Legrand,6.72
2564,Milo,Rolland,4.44
2565,Tom,Gerard,19.27
2566,Alice,Benoit,18.53
2567,Ayden,Marchand,12.84
2568,Zoé,Meyer,4.83
2569,Charlotte,Meunier,14.09
2570,Louis,Morel,9.88
2571,Emma,Perrin,1.68
2572,Isaac,Martin,9.62
2573,Anna,Fabre,8.46
2574,Adam,David,11.86
2575,Sacha,Bertrand,7.72
2576,Léonie,Gautier,16.9
2577,Louis,Brun,6.7
2578,Lou,Lacroix,1.92
2579,Eliott,Fabre,8.64
2580,Noé,Martin,1.7
2581,Théo,Vincent,8.04
2582,Julia,Legrand,16.6
2583,Sacha,Legrand,5.68
2584,Lyana,Lefebvre,2.0
2585,Léon,Guillaume,6.64
2586,Mya,Lefebvre,9.65
2587,Martin,Muller,19.35
2588,Tiago,Francois,19.61
2589,Ambre,Colin,16.93
2590,Imran,Bourgeois,19.44
2591,Adam,Petit,8.02
2592,Sacha,Blanchard,5.25
2593,Ayden,Michel,0.66
2594,Rayan,Leroy,1.19
2595,Axel,Dubois,16.81
2596,Amir,Andre,5.74
2597,Agathe,Gaillard,17.51
2598,Sacha,Dumas,12.15
2599,Nathan,Lambert,17.19
2600,Timéo,Picard,14.35
2601,Imran,Leroy,16.46
2602,Nathan,David,17.03
2603,Emma,Dupont,12.61
2604,Liam,Muller,19.61
2605,Mathis,Moreau,14.71
2606,Nathan,Blanchard,7.33
2607,Maël,Blanchard,10.86
2608,Agathe,Muller,17.3
2609,Louis,Brun,16.3
2610,Alba,Gaillard,1.23
2611,Chloé,Roy,10.37
2612,Jules,Barbier,5.9
2613,Alix,Brun,18.84
2614,Léo,Perrin,18.29
2615,Gaspard,Picard,9.14
2616,Lou,Roche,5.42
2617,Lya,Morin,11.44
2618,Emma,Lefevre,10.43
2619,Marceau,Lemaire,18.77
2620,Maël,Girard,5.49
2621,Alma,Brunet,14.16
2622,Raphaël,Mathieu,12.61
2623,Iris,Roux,10.71
2624,Axel,Martinez,11.17
2625,Léon,Olivier,9.86
2626,Aaron,Lacroix,15.23
2627,Margaux,Picard,19.66
2628,Charlotte,Renard,9.24
2629,Eva,Moreau,1.0
2630,Alix,Duval,8.99
2631,Marius,Henry,5.45
2632,Chloé,Rey,17.26
2633,Alma,Moreau,16.31
2634,Inaya,Dupont,15.49
2635,Lou,Roussel,5.09
2636,Elio,Blanchard,5.73
2637,Ethan,Petit,8.57
2638,Mohamed,Gautier,19.93
2639,Agathe,Rey,8.13
2640,Lyana,Boyer,19.36
2641,Timéo,Riviere,13.54
2642,Robin,Morel,15.47
2643,Hugo,Leclerc,15.9
2644,Ethan,Caron,12.25
2645,Mila,Garcia,1.19
2646,Sofia,Nicolas,5.7
2647,Charlotte,Denis,0.54
2648,Noah,Martinez,1.97
2649,Sacha,Faure,16.18
2650,Milo,Rousseau,11.35
2651,Gabin,Petit,15.45
2652,Lyam,Leclerc,5.94
2653,Milo,Henry,5.35
2654,Adèle,Michel,11.85
2655,Olivia,Dumas,0.62
2656,Lya,Renard,16.86
2657,Axel,Boyer,5.69
2658,Victoria,Arnaud,14.92
2659,Gaspard,Mercier,11.95
2660,Raphaël,Dupont,5.5
2661,Charlie,Muller,19.59
2662,Gaspard,Colin,10.99
2663,Léna,Morin,18.42
2664,Jeanne,Henry,1.42
2665,Noah,Lefebvre,4.47
2666,Lya,Leclerc,3.0
2667,Eliott,Chevalier,18.33
2668,Nathan,Gautier,10.16
2669,Gabriel,Bertrand,6.16
2670,Léo,Guerin,13.91
2671,Victoria,Brunet,16.86
2672,Emma,Aubert,12.24
2673,Victoria,Gerard,3.31
2674,Lucas,Martin,3.75
2675,Adam,Lemaire,12.01
2676,Zoé,Girard,4.73
2677,Lou,Olivier,18.5
2678,Ibrahim,Bonnet,10.48
2679,Arthur,Marie,15.58
2680,Mathis,Pierre,0.11
2681,Alix,Michel,10.46
2682,Léonie,Blanc,14.29
2683,Ava,Lemoine,13.99
2684,Marius,Morel,12.73
2685,Luna,Picard,11.35
2686,Charlotte,Riviere,6.59
2687,Amir,Benoit,14.94
2688,Luna,Morel,8.16
2689,Zoé,Leclerc,13.02
2690,Tiago,Noel,3.35
2691,Sofia,Durand,3.25
2692,Lucas,Blanchard,5.84
2693,Lya,Fournier,5.46
2694,Tom,Martin,1.89
2695,Naël,Brunet,9.05
2696,Nina,Renaud,1.86
2697,Adèle,Fournier,2.79
2698,Zoé,Meyer,6.91
2699,Inès,Morel,17.76
2700,Jules,Rey,4.05
2701,Louise,Martin,18.39
2702,Noah,Payet,0.84
2703,Rayan,Dupont,7.9
2704,Naël,Leclercq,2.06
2705,Lola,Fontaine,11.33
2706,Léo,Marie,12.28
2707,Maël,Simon,10.0
2708,Lou,Brunet,17.45
2709,Lyam,Philippe,3.53
2710,Giulia,Robin,11.4
2711,Elio,Robin,19.42
2712,Gaspard,Caron,12.94
2713,Paul,Thomas,3.64
2714,Maël,Gauthier,17.28
2715,Martin,Guerin,4.19
2716,Robin,Clement,10.3
2717,Alma,Giraud,3.9
2718,Anna,Martinez,18.62
2719,Lyana,Francois,17.55
2720,Lina,Mathieu,12.52
2721,Louise,Garnier,6.89
2722,Isaac,Benoit,12.7
2723,Emy,Robin,5.26
2724,Eliott,Blanc,20.0
2725,Sacha,Boyer,9.38
2726,Théo,Mercier,10.99
2727,Léonie,Francois,0.05
2728,Jade,Martin,15.4
2729,Jules,Boyer,5.46
2730,Anna,Girard,7.92
2731,Zoé,Blanchard,8.62
2732,Ayden,Lefebvre,6.41
2733,Isaac,Vincent,8.2
2734,Eliott,Picard,16.49
2735,Raphaël,Fabre,6.81
2736,Robin,Masson,4.88
2737,Mya,Dubois,8.94
2738,Lola,Schmitt,2.47
2739,Augustin,Vidal,8.06
2740,Eden,Clement,9.08
2741,Anna,David,5.04
2742,Margaux,Meyer,18.19
2743,Noah,Benoit,7.08
2744,Malo,Chevalier,14.4
2745,Léo,Fontaine,10.55
2746,Agathe,Rey,15.84
2747,Adèle,Girard,5.5
2748,Gabriel,Moreau,0.42
2749,Marceau,Leroy,1.57
2750,Isaac,Roche,19.69
2751,Lou,Dufour,12.95
2752,Enzo,Leroux,12.9
2753,Tiago,Gerard,2.33
2754,Inès,Mercier,7.48
2755,Lyana,Marie,7.91
2756,Romane,Muller,14.54
2757,Marius,Robin,16.95
2758,Raphaël,David,11.5
2759,Noah,Philippe,13.44
2760,Jeanne,Philippe,12.86
2761,Maël,Leroux,10.85
2762,Malo,Garcia,16.38
2763,Ava,Bertrand,18.68
2764,Alma,Martinez,7.58
2765,Amir,Gaillard,2.76
2766,Lola,Bourgeois,9.62
2767,Jade,Joly,13.7
2768,Anna,Michel,18.87
2769,Iris,Fontaine,2.25
2770,Milo,Clement,9.98
2771,Eva,Lemoine,2.63
2772,Axel,Nicolas,5.69
2773,Augustin,Rey,6.44
2774,Luna,Simon,11.34
2775,Enzo,Fournier,3.61
2776,Liam,Bernard,9.1
2777,Alma,Leclercq,5.78
2778,Giulia,Thomas,7.88
2779,Lyam,Roy,4.28
2780,Léa,Leroux,16.1
2781,Robin,Marchand,6.35
2782,Lou,Moreau,11.96
2783,Isaac,Roy,9.66
2784,Margaux,Lecomte,8.01
2785,Inaya,David,8.54
2786,Inaya,Francois,19.84
2787,Mia,Fournier,13.01
2788,Nino,Roger,15.21
2789,Emma,Nicolas,3.9
2790,Lola,Vincent,11.52
2791,Iris,Fabre,16.67
2792,Ethan,Dufour,0.54
2793,Emy,Renard,19.05
2794,Olivia,Leroy,5.6
2795,Inaya,Giraud,0.86
2796,Gabin,Morel,17.34
2797,Inaya,Leclercq,18.15
2798,Nour,Blanc,3.25
2799,Amir,Vincent,9.2
2800,Amir,Picard,3.62
2801,Axel,Noel,1.1
2802,Mya,Guillaume,15.86
2803,Naël,Vincent,3.98
2804,Mila,Picard,2.11
2805,Nour,Rolland,12.16
2806,Emma,Perrin,8.9
2807,Liam,Arnaud,18.56
2808,Isaac,Brun,0.18
2809,Gabriel,Morin,5.87
2810,Charlie,Meunier,5.14
2811,Eva,Colin,6.54
2812,Lina,Bourgeois,9.89
2813,Emma,Perrin,12.69
2814,Noah,Lefevre,9.43
2815,Aaron,Meunier,16.92
2816,Lyam,Gerard,16.68
2817,Gabin,Guillaume,2.06
2818,Victoria,Mathieu,0.58
2819,Léa,Bernard,11.87
2820,Nathan,Bertrand,10.59
2821,Imran,Mercier,10.42
2822,Elena,Mathieu,11.03
2823,Paul,Michel,13.35
2824,Maël,Gauthier,19.32
2825,Mohamed,Caron,9.06
2826,Agathe,Lambert,3.04
2827,Imran,Meunier,12.42
2828,Gaspard,Dufour,12.95
2829,Julia,Gerard,0.83
2830,Noah,Brunet,17.18
2831,Nathan,Thomas,7.95
2832,Victoria,Barbier,13.59
2833,Mohamed,Roussel,19.99
2834,Milo,Bernard,17.62
2835,Marceau,Dupont,10.14
2836,Sofia,Roy,1.85
2837,Margaux,Perrin,13.66
2838,Marceau,Gauthier,10.14
2839,Lina,Fabre,19.45
2840,Tom,Girard,17.36
2841,Anna,Dumas,11.0
2842,Gabin,Blanc,13.09
2843,Inaya,Meyer,13.18
2844,Eva,David,10.74
2845,Amir,Barbier,14.09
2846,Alix,Giraud,10.33
2847,Romane,Aubert,19.23
2848,Lucas,Guerin,10.3
2849,Jeanne,Blanc,19.27
2850,Elio,Schmitt,12.51
2851,Robin,Fabre,18.44
2852,Alma,Joly,19.23
2853,Margaux,Lambert,12.03
2854,Marius,Schmitt,4.1
2855,Louis,Mathieu,3.56
2856,Marceau,Blanchard,7.66
2857,Eliott,Olivier,7.23
2858,Adèle,Gaillard,6.54
2859,Noé,Denis,4.36
2860,Ambre,Andre,1.24
2861,Lyam,Clement,3.97
2862,Jules,Lemoine,4.09
2863,Lola,Leclerc,3.59
2864,Mila,Leclercq,3.5
2865,Gabriel,Moreau,0.84
2866,Luna,Fournier,18.84
2867,Luna,Lemaire,14.1
2868,Milo,Moreau,7.15
2869,Sacha,Mathieu,14.19
2870,Iris,Guillaume,7.04
2871,Jade,Noel,15.54
2872,Louis,Fontaine,9.23
2873,Enzo,Meyer,10.81
2874,Ambre,Nicolas,11.18
2875,Jade,Lefevre,9.68
2876,Elena,Nicolas,4.08
2877,Romane,Colin,4.8
2878,Lina,Schmitt,11.75
2879,Nathan,Renaud,9.01
2880,Sacha,Guerin,16.26
2881,Eliott,Denis,1.97
2882,Anna,Andre,16.96
2883,Théo,Guerin,18.05
2884,Giulia,Aubert,17.17
2885,Gabriel,Faure,12.75
2886,Valentin,Marchand,16.41
2887,Augustin,Lacroix,4.62
2888,Gabin,Rolland,6.67
2889,Emy,Arnaud,5.51
2890,Lucas,Nicolas,8.33
2891,Louise,Bourgeois,16.78
2892,Lyana,Robert,2.05
2893,Romy,Bernard,8.13
2894,Lya,Morel,5.42
2895,Eliott,Lefebvre,11.37
2896,Naël,Fournier,18.27
2897,Léon,Morin,18.43
2898,Alix,Brun,18.67
2899,Nathan,Aubert,2.94
2900,Louna,Guillaume,14.71
2901,Sofia,Rolland,2.45
2902,Enzo,Benoit,4.92
2903,Timéo,Lefebvre,12.93
2904,Emy,Mercier,5.77
2905,Rose,Pierre,11.9
2906,Naël,Dumont,2.46
2907,Lucas,Clement,10.02
2908,Léon,Roy,16.74
2909,Charlie,Faure,2.98
2910,Emma,Robert,6.5
2911,Victoire,Masson,2.74
2912,Augustin,Bertrand,4.35
2913,Nour,Roussel,16.07
2914,Arthur,Michel,19.26
2915,Milo,Garnier,0.17
2916,Victor,Perrin,4.92
2917,Agathe,Dubois,8.77
2918,Léna,Clement,14.52
2919,Tom,Lefebvre,10.06
2920,Lya,Roussel,1.87
2921,Gabriel,Mathieu,16.58
2922,Robin,Mathieu,18.41
2923,Rayan,Fournier,2.32
2924,Mohamed,Barbier,11.53
2925,Anna,Michel,18.56
2926,Arthur,Dumont,17.13
2927,Imran,Robin,17.27
2928,Ibrahim,Rousseau,15.32
2929,Alba,Rey,9.58
2930,Charlotte,Schmitt,8.15
2931,Lyam,Faure,12.33
2932,Victoria,Arnaud,5.14
2933,Isaac,Dubois,19.87
2934,Alba,Guillaume,2.03
2935,Imran,Roy,9.43
2936,Alma,Brun,2.11
2937,Eliott,Lefebvre,3.83
2938,Alice,Fournier,6.48
2939,Lucas,Faure,7.05
2940,Romane,Lucas,17.34
2941,Elio,Gauthier,5.39
2942,Ambre,Joly,8.86
2943,Noah,Vidal,14.67
2944,Ethan,Philippe,4.33
2945,Juliette,Girard,0.52
2946,Eden,Thomas,16.82
2947,Hugo,Roger,0.39
2948,Olivia,Dufour,11.73
2949,Lou,Martinez,5.07
2950,Ambre,Moreau,18.45
2951,Valentin,Martinez,1.46
2952,Elena,Dumont,18.41
2953,Jules,Michel,2.61
2954,Liam,Olivier,11.05
2955,Sofia,Martin,2.22
2956,Alice,Benoit,4.86
2957,Paul,Garcia,14.22
2958,Lina,Gerard,14.73
2959,Rose,David,5.09
2960,Ibrahim,Michel,17.05
2961,Eva,Aubert,4.08
2962,Ethan,Moreau,13.59
2963,Axel,Picard,17.86
2964,Léon,Bertrand,16.36
2965,Charlie,Fournier,15.0
2966,Louna,Francois,11.25
2967,Robin,Bourgeois,0.17
2968,Nino,Andre,18.78
2969,Victoire,Francois,18.71
2970,Jade,Caron,16.52
2971,Léo,Martin,9.17
2972,Gabin,Brunet,17.35
2973,Mila,Girard,19.03
2974,Mila,Henry,16.81
2975,Iris,Andre,12.85
2976,Lyam,Bernard,1.62
2977,Julia,Lacroix,18.82
2978,Gabriel,Roux,6.01
2979,Lyam,Gautier,3.87
2980,Sofia,Bertrand,18.53
2981,Lina,Roussel,1.42
2982,Ambre,Denis,15.38
2983,Agathe,Vidal,5.53
2984,Louna,Meunier,18.83
2985,Alma,Clement,11.64
2986,Eliott,Morel,9.9
2987,Gabriel,Henry,19.72
2988,Giulia,Richard,19.03
2989,Ambre,Pierre,4.39
2990,Valentin,Pierre,5.9
2991,Elio,Picard,0.67
2992,Julia,Lemaire,13.23
2993,Mia,Nicolas,2.13
2994,Eliott,Girard,16.38
2995,Enzo,Morel,12.0
2996,Hugo,Martin,10.3
2997,Mya,Bourgeois,12.81
2998,Marceau,Guillaume,5.22
2999,Louna,Roux,17.85
3000,Adam,Fontaine,15.89
3001,Eliott,Masson,18.28
3002,Marceau,Laurent,8.27
3003,Jade,Legrand,10.45
3004,Nathan,Riviere,16.16
3005,Elio,Duval,15.5
3006,Anna,Roche,0.83
3007,Théo,Gautier,18.89
3008,Alma,Guerin,1.62
3009,Malo,Faure,10.28
3010,Charlie,Payet,15.37
3011,Gabriel,Pierre,3.99
3012,Gabin,Meyer,7.81
3013,Gabriel,Gautier,14.0
3014,Imran,Picard,4.21
3015,Lina,Faure,2.01
3016,Léo,Masson,19.57
3017,Charlie,Dumont,17.49
3018,Hugo,Morel,18.91
3019,Noé,Girard,8.86
3020,Alba,Laurent,6.65
3021,Nina,Riviere,1.27
3022,Aaron,Lecomte,14.04
3023,Mohamed,Mathieu,5.5
3024,Emy,Moreau,11.08
3025,Nour,Bonnet,17.06
3026,Maël,Joly,6.19
3027,Elio,Dufour,18.54
3028,Lola,Rolland,14.26
3029,Marius,Leroux,18.34
3030,Léonie,Lacroix,14.67
3031,Iris,Renard,19.48
3032,Marceau,Rey,17.65
3033,Augustin,Dumas,8.69
3034,Gabin,Garcia,3.85
3035,Romane,Michel,11.34
3036,Robin,Giraud,13.09
3037,Mia,Roger,18.57
3038,Anna,Lucas,10.25
3039,Elio,Muller,1.09
3040,Raphaël,Martinez,7.25
3041,Nour,Payet,9.08
3042,Alma,Arnaud,18.49
3043,Jade,Renaud,0.19
3044,Victoria,Renard,12.66
3045,Léna,Roger,15.68
3046,Eden,Mathieu,3.58
3047,Gabin,Girard,3.97
3048,Nathan,Muller,12.74
3049,Mila,Fournier,9.45
3050,Isaac,Martinez,15.73
3051,Rayan,Vidal,4.39
3052,Tom,Mathieu,19.68
3053,Liam,Francois,17.01
3054,Martin,Denis,1.08
3055,Ambre,Leroux,9.53
3056,Sofia,Brunet,10.83
3057,Eden,Rousseau,14.56
3058,Nina,Dumas,1.57
3059,Victoria,Petit,1.41
3060,Iris,Laurent,17.09
3061,Amir,Brunet,13.95
3062,Imran,Morin,7.19
3063,Lucas,Morin,1.5
